,State,Likes,Retweets,Followers,lat,long,Polarity,Subjectivity,newST
0,Alabama,5.974683544303797,1.3386075949367089,4137.398734177215,32.25165128386086,-87.17717860949357,0.05597495312854714,0.39529559811713944,AL
1,Alaska,2.193548387096774,0.46236559139784944,9049.440860215054,61.518359851612935,-149.2447843956988,0.010652919362596784,0.268036470697761,AK
2,Arizona,2.057910447761194,0.5158208955223881,3682.8328358208955,33.168550341790805,-111.82575678131272,0.04304779789033522,0.32509437500034494,AZ
3,Arkansas,2.3,0.35714285714285715,1311.6285714285714,35.33940803571428,-92.36775204714273,0.012687461348175638,0.28356859410430835,AR
4,California,5.455673668684197,1.2802502415950359,9716.586033263822,35.18773247193278,-119.45336557425085,0.033150068276836336,0.3066859468478203,CA
5,Colorado,1.0150060024009604,0.18907563025210083,5452.499399759904,39.62158062845058,-104.99836883877761,0.019429671823536526,0.31917399482468717,CO
6,Connecticut,20.323076923076922,11.707692307692307,14706.651282051282,41.33242744256402,-73.05575982051299,0.06725114700114701,0.3321739001739002,CT
7,Delaware,0.3333333333333333,0.0,353.46666666666664,39.7459468,-75.54658900000001,-0.013333333333333324,0.1408333333333333,DE
8,District of Columbia,37.55437190169813,8.587174348697395,21654.223710579052,38.89520610177446,-77.0357399780739,0.038633486404275115,0.29300405711831645,DC
9,Florida,4.039639381797367,1.294361763022324,60903.00901545506,27.278433213395026,-81.24931704279854,0.0417004786500926,0.26967162268177414,FL
10,Georgia,2.402428810720268,0.5464824120603015,7212.187185929648,33.66074224824116,-84.17977092374143,0.06049950068902714,0.30542192635606197,GA
11,Hawaii,4.8275,0.81,13530.27,21.287195188999902,-157.80995881225073,-0.00022888933982683887,0.3443266106000484,HI
12,Idaho,1.025236593059937,0.20189274447949526,2369.186119873817,43.71152156813865,-116.21750188706568,0.04666811953089556,0.3545052791582763,ID
13,Illinois,3.912693623013478,1.0317843492255079,7429.926171796419,41.78436889004087,-87.73428145226612,0.03143628166449984,0.31877114606835205,IL
14,Indiana,0.8980301274623407,0.14600231749710313,1187.4183082271147,39.45593039617661,-86.50473118389286,0.0018189566155548645,0.22468915021213887,IN
15,Iowa,1.0769230769230769,0.27218934911242604,1313.8579881656806,41.76989033846142,-92.33106153846153,0.031449544045697886,0.2889844450421373,IA
16,Kansas,2.217391304347826,1.048913043478261,920.9076086956521,38.24222551032606,-97.62718899456532,0.05015468478783694,0.27262958584290103,KS
17,Kentucky,6.5548523206751055,1.09915611814346,5762.430379746836,38.13456623291135,-85.67977063480998,0.07403417501434001,0.27899486055839645,KY
18,Louisiana,2.8854314002828856,0.5487977369165488,4609.6379066478075,30.22539689151375,-90.55029267142862,0.06392301551583726,0.3489824888951484,LA
19,Maine,0.65,0.3,2468.2,43.94606629999999,-69.88559814999999,0.02100649350649351,0.2875595238095238,ME
20,Maryland,1.356280193236715,0.44565217391304346,2002.876811594203,39.179002263285156,-76.73417999565302,0.022664226397404424,0.3369395690424202,MD
21,Massachusetts,2.8261245674740483,1.1639273356401385,6031.296280276817,42.35778006799179,-71.1087520344272,0.034779938648582025,0.3256533962615511,MA
22,Michigan,2.9420916162489195,0.6819360414866033,1851.2437337942956,42.464373984874754,-83.5920972520317,0.047378543856257144,0.3670075697089219,MI
23,Minnesota,1.670468948035488,0.34600760456273766,1760.6894803548796,45.01762368719861,-93.22739564436031,0.022795109645553244,0.3507233324511073,MN
24,Mississippi,1.875,0.5625,980.55,31.32218139249999,-89.32129354874995,0.014112689393939401,0.3666025658369408,MS
25,Missouri,1.6817777777777778,0.424,3138.336888888889,38.73928717519932,-91.7717852769768,0.017033360803805256,0.32566554625621313,MO
26,Montana,0.9696969696969697,0.15151515151515152,3619.6969696969695,46.7022714575758,-112.95451778484846,-0.10016983016983017,0.39968771968771966,MT
27,Nebraska,1.6796875,0.3203125,6277.8125,41.212892318749965,-96.55082487968768,0.06965115440115441,0.3149175939078283,NE
28,Nevada,4.291069459757442,1.4195148842337375,10762.657662624035,36.504207530484976,-115.6196814173076,0.04802226902957817,0.327930642021798,NV
29,New Hampshire,1.56,0.44,1420.76,43.01278080800001,-71.50671559999999,0.10050649350649352,0.37267640692640697,NH
30,New Jersey,1.106060606060606,0.3354978354978355,1724.952380952381,40.35926489848484,-74.389661401299,0.038699658926931654,0.2939491193630804,NJ
31,New Mexico,1.3609958506224067,0.4315352697095436,1388.7883817427387,34.682617896265384,-106.6690222767636,0.025731937248682942,0.2915973581896818,NM
32,New York,31.075987541405052,7.286448806051317,14227.37672418055,40.79186641944144,-74.08189375261261,0.037642914571699236,0.31576057692640874,NY
33,North Carolina,4.047191011235955,0.7745318352059926,2370.295131086142,35.43206518891427,-80.13650294089855,0.04666917278518405,0.3117182339023161,NC
34,North Dakota,1.5384615384615385,0.23076923076923078,1371.4615384615386,46.87722899999999,-96.789821,-0.0029720279720279763,0.2631701631701632,ND
35,Ohio,2.299175500588928,0.5353356890459364,1843.2273262661956,40.618305791107915,-82.54729888586438,0.037888399964108754,0.3148074721744377,OH
36,Oklahoma,1.6494845360824741,0.5189003436426117,837.8109965635739,35.74818392714772,-96.8643951402063,0.058042489645030136,0.28772101051187937,OK
37,Oregon,1.3550472401790155,0.548483341621084,1656.1775236200895,45.47410757657767,-122.70510373157519,0.052687239485123404,0.3697697411987972,OR
38,Pennsylvania,6.722190201729107,1.346685878962536,3942.1608069164267,40.12912352706027,-76.4615374888176,0.01962221868425554,0.3397025086531574,PA
39,Puerto Rico,2.793388429752066,0.6446280991735537,8717.363636363636,18.464709859504104,-66.11614231239662,0.032034214637520424,0.2907072916370437,PR
40,Rhode Island,1.2894736842105263,0.21052631578947367,1027.9605263157894,41.73969280394732,-71.38477292500006,0.012957523105549418,0.36535159041737986,RI
41,South Carolina,1.0231788079470199,0.20860927152317882,2519.341059602649,33.52156944139069,-80.39943647152323,0.013858702923272447,0.2751004805226657,SC
42,Tennessee,6.566408995080815,1.9423752635277582,4254.7413914265635,35.84841363773707,-87.06443850386583,0.0635878076143926,0.3197996249357116,TN
43,Texas,5.352101910828026,1.896687898089172,4731.509299363057,30.89238972747457,-97.05153767323336,0.03234198214728037,0.30192156584552077,TX
44,Utah,1.8229166666666667,0.3159722222222222,3453.1041666666665,40.759225638194295,-111.88344561180514,0.06167911756453427,0.2770056029040411,UT
45,Vermont,0.9805825242718447,0.2815533980582524,2322.0485436893205,44.41368353203885,-73.05016704368927,0.01096788671337908,0.2410074091419445,VT
